Packet Number,Source MAC,Destination MAC,EtherType,IP Version,Source IP,Destination IP,Header Length (bytes),Total Length (bytes),TTL,Protocol,Checksum,Flags,Fragment Offset,Identification,Source Port,Destination Port,Sequence Number,Acknowledgment Number,TCP Flags,Window Size,Urgent Pointer
25,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,6714.0,DF,0.0,16754.0,5000.0,54224.0,3740495048.0,1382937155.0,A,330.0,0.0
26,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,8740.0,DF,0.0,27997.0,54224.0,5000.0,1382955979.0,3740495048.0,A,331.0,0.0
27,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,6778.0,DF,0.0,27998.0,54224.0,5000.0,1382957427.0,3740495048.0,A,331.0,0.0
28,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,5264.0,DF,0.0,16755.0,5000.0,54224.0,3740495048.0,1382938603.0,A,330.0,0.0
29,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,7381.0,DF,0.0,27999.0,54224.0,5000.0,1382958875.0,3740495048.0,A,331.0,0.0
30,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,5419.0,DF,0.0,28000.0,54224.0,5000.0,1382960323.0,3740495048.0,A,331.0,0.0
31,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,3813.0,DF,0.0,16756.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
32,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,3452.0,DF,0.0,28001.0,54224.0,5000.0,1382961771.0,3740495048.0,A,331.0,0.0
33,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,1490.0,DF,0.0,28002.0,54224.0,5000.0,1382963219.0,3740495048.0,A,331.0,0.0
34,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,2867.0,DF,0.0,16757.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
35,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,24995.0,DF,0.0,28003.0,54224.0,5000.0,1382940051.0,3740495048.0,A,331.0,0.0
36,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,1416.0,DF,0.0,16758.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
37,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,23028.0,DF,0.0,28004.0,54224.0,5000.0,1382941499.0,3740495048.0,A,331.0,0.0
38,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,65501.0,DF,0.0,16759.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
39,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,64050.0,DF,0.0,16760.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
40,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,21056.0,DF,0.0,28005.0,54224.0,5000.0,1382942947.0,3740495048.0,A,331.0,0.0
41,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,62600.0,DF,0.0,16761.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
42,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,61150.0,DF,0.0,16762.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
