Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
314,172.16.11.1,172.16.10.1,20,0,0,6
315,172.16.10.1,172.16.11.1,20,0,0,6
316,172.16.11.1,172.16.10.1,20,0,0,6
317,172.16.11.1,172.16.10.1,20,0,0,6
318,172.16.11.1,172.16.10.1,20,0,0,6
319,172.16.10.1,172.16.11.1,20,0,0,6
320,172.16.11.1,172.16.10.1,20,0,0,6
321,172.16.11.1,172.16.10.1,20,0,0,6
322,172.16.10.1,172.16.11.1,20,0,0,6
323,172.16.11.1,172.16.10.1,20,0,0,6
324,172.16.11.1,172.16.10.1,20,0,0,6
325,172.16.10.1,172.16.11.1,20,0,0,6
326,172.16.11.1,172.16.10.1,20,0,0,6
327,172.16.11.1,172.16.10.1,20,0,0,6
328,172.16.10.1,172.16.11.1,20,0,0,6
329,172.16.11.1,172.16.10.1,20,0,0,6
330,172.16.11.1,172.16.10.1,20,0,0,6
331,172.16.10.1,172.16.11.1,20,0,0,6
332,172.16.11.1,172.16.10.1,20,0,0,6
333,172.16.11.1,172.16.10.1,20,0,0,6
334,172.16.10.1,172.16.11.1,20,0,0,6
335,172.16.11.1,172.16.10.1,20,0,0,6
336,172.16.11.1,172.16.10.1,20,0,0,6
337,172.16.10.1,172.16.11.1,20,0,0,6
338,172.16.11.1,172.16.10.1,20,0,0,6
339,172.16.11.1,172.16.10.1,20,0,0,6
340,172.16.11.1,172.16.10.1,20,0,0,6
341,172.16.10.1,172.16.11.1,20,0,0,6
342,172.16.11.1,172.16.10.1,20,0,0,6
343,172.16.11.1,172.16.10.1,20,0,0,6
344,172.16.10.1,172.16.11.1,20,0,0,6
345,172.16.11.1,172.16.10.1,20,0,0,6
346,172.16.11.1,172.16.10.1,20,0,0,6
347,172.16.10.1,172.16.11.1,20,0,0,6
348,172.16.11.1,172.16.10.1,20,0,0,6
349,172.16.11.1,172.16.10.1,20,0,0,6
350,172.16.10.1,172.16.11.1,20,0,0,6
351,172.16.11.1,172.16.10.1,20,0,0,6
352,172.16.11.1,172.16.10.1,20,0,0,6
353,172.16.10.1,172.16.11.1,20,0,0,6
354,172.16.11.1,172.16.10.1,20,0,0,6
355,172.16.11.1,172.16.10.1,20,0,0,6
356,172.16.11.1,172.16.10.1,20,0,0,6
357,172.16.11.1,172.16.10.1,20,0,0,6
358,172.16.10.1,172.16.11.1,20,0,0,6
359,172.16.11.1,172.16.10.1,20,0,0,6
360,172.16.11.1,172.16.10.1,20,0,0,6
361,172.16.10.1,172.16.11.1,20,0,0,6
362,172.16.11.1,172.16.10.1,20,0,0,6
363,172.16.10.1,172.16.11.1,20,0,0,6
364,172.16.11.1,172.16.10.1,20,0,0,6
365,172.16.11.1,172.16.10.1,20,0,0,6
366,172.16.10.1,172.16.11.1,20,0,0,6
367,172.16.11.1,172.16.10.1,20,0,0,6
368,172.16.11.1,172.16.10.1,20,0,0,6
369,172.16.10.1,172.16.11.1,20,0,0,6
370,172.16.11.1,172.16.10.1,20,0,0,6
371,172.16.11.1,172.16.10.1,20,0,0,6
372,172.16.10.1,172.16.11.1,20,0,0,6
373,172.16.11.1,172.16.10.1,20,0,0,6
374,172.16.11.1,172.16.10.1,20,0,0,6
375,172.16.10.1,172.16.11.1,20,0,0,6
376,172.16.11.1,172.16.10.1,20,0,0,6
377,172.16.11.1,172.16.10.1,20,0,0,6
378,172.16.10.1,172.16.11.1,20,0,0,6
379,172.16.11.1,172.16.10.1,20,0,0,6
380,172.16.11.1,172.16.10.1,20,0,0,6
381,172.16.10.1,172.16.11.1,20,0,0,6
382,172.16.11.1,172.16.10.1,20,0,0,6
383,172.16.11.1,172.16.10.1,20,0,0,6
384,172.16.10.1,172.16.11.1,20,0,0,6
385,172.16.11.1,172.16.10.1,20,0,0,6
386,172.16.10.1,172.16.11.1,20,0,0,6
387,172.16.11.1,172.16.10.1,20,0,0,6
388,172.16.11.1,172.16.10.1,20,0,0,6
389,172.16.11.1,172.16.10.1,20,0,0,6
390,172.16.11.1,172.16.10.1,20,0,0,6
391,172.16.10.1,172.16.11.1,20,0,0,6
392,172.16.11.1,172.16.10.1,20,0,0,6
393,172.16.11.1,172.16.10.1,20,0,0,6
394,172.16.10.1,172.16.11.1,20,0,0,6
395,172.16.11.1,172.16.10.1,20,0,0,6
396,172.16.10.1,172.16.11.1,20,0,0,6
397,172.16.11.1,172.16.10.1,20,0,0,6
398,172.16.11.1,172.16.10.1,20,0,0,6
399,172.16.10.1,172.16.11.1,20,0,0,6
400,172.16.11.1,172.16.10.1,20,0,0,6
401,172.16.11.1,172.16.10.1,20,0,0,6
402,172.16.10.1,172.16.11.1,20,0,0,6
403,172.16.11.1,172.16.10.1,20,0,0,6
404,172.16.11.1,172.16.10.1,20,0,0,6
405,172.16.10.1,172.16.11.1,20,0,0,6
406,172.16.11.1,172.16.10.1,20,0,0,6
407,172.16.11.1,172.16.10.1,20,0,0,6
408,172.16.10.1,172.16.11.1,20,0,0,6
409,172.16.11.1,172.16.10.1,20,0,0,6
410,172.16.11.1,172.16.10.1,20,0,0,6
411,172.16.10.1,172.16.11.1,20,0,0,6
412,172.16.11.1,172.16.10.1,20,0,0,6
413,172.16.11.1,172.16.10.1,20,0,0,6
414,172.16.10.1,172.16.11.1,20,0,0,6
415,172.16.11.1,172.16.10.1,20,0,0,6
416,172.16.11.1,172.16.10.1,20,0,0,6
417,172.16.10.1,172.16.11.1,20,0,0,6
418,172.16.11.1,172.16.10.1,20,0,0,6
419,172.16.11.1,172.16.10.1,20,0,0,6
420,172.16.10.1,172.16.11.1,20,0,0,6
421,172.16.11.1,172.16.10.1,20,0,0,6
422,172.16.11.1,172.16.10.1,20,0,0,6
423,172.16.11.1,172.16.10.1,20,0,0,6
424,172.16.11.1,172.16.10.1,20,0,0,6
425,172.16.10.1,172.16.11.1,20,0,0,6
426,172.16.11.1,172.16.10.1,20,0,0,6
427,172.16.11.1,172.16.10.1,20,0,0,6
428,172.16.10.1,172.16.11.1,20,0,0,6
429,172.16.11.1,172.16.10.1,20,0,0,6
430,172.16.10.1,172.16.11.1,20,0,0,6
431,172.16.11.1,172.16.10.1,20,0,0,6
432,172.16.11.1,172.16.10.1,20,0,0,6
433,172.16.10.1,172.16.11.1,20,0,0,6
434,172.16.11.1,172.16.10.1,20,0,0,6
435,172.16.11.1,172.16.10.1,20,0,0,6
436,172.16.10.1,172.16.11.1,20,0,0,6
437,172.16.11.1,172.16.10.1,20,0,0,6
438,172.16.11.1,172.16.10.1,20,0,0,6
439,172.16.11.1,172.16.10.1,20,0,0,6
440,172.16.11.1,172.16.10.1,20,0,0,6
441,172.16.10.1,172.16.11.1,20,0,0,6
442,172.16.11.1,172.16.10.1,20,0,0,6
443,172.16.11.1,172.16.10.1,20,0,0,6
444,172.16.10.1,172.16.11.1,20,0,0,6
445,172.16.11.1,172.16.10.1,20,0,0,6
446,172.16.11.1,172.16.10.1,20,0,0,6
447,172.16.10.1,172.16.11.1,20,0,0,6
448,172.16.11.1,172.16.10.1,20,0,0,6
