tcp_80_connections,tcp_443_connections,udp_443_connections
"('145.120.203.203', 51005, '198.86.171.236', 80)","('149.198.202.136', 60929, '46.224.98.177', 443)",
"('161.32.13.64', 1642, '46.224.98.177', 80)","('164.93.153.74', 1792, '92.11.250.40', 443)",
"('164.143.213.140', 33864, '45.177.22.76', 80)","('164.93.4.145', 1628, '46.36.64.152', 443)",
"('46.224.98.177', 80, '164.66.234.91', 61300)","('164.93.91.246', 443, '93.109.74.76', 1264)",
"('164.93.168.156', 52440, '52.144.27.35', 80)","('45.171.169.0', 443, '164.66.66.17', 50267)",
"('161.33.153.229', 1117, '215.166.140.232', 80)","('88.165.92.235', 443, '164.88.48.128', 61087)",
"('161.32.243.166', 40203, '209.135.26.119', 80)","('145.120.5.48', 2291, '46.224.98.187', 443)",
"('149.198.202.137', 61860, '198.102.86.43', 80)","('44.206.252.199', 443, '161.32.245.140', 6894)",
"('212.138.117.186', 58065, '192.114.235.26', 80)","('164.66.66.17', 50267, '45.171.169.0', 443)",
"('149.198.149.188', 80, '152.46.249.71', 33973)","('216.196.178.47', 443, '193.188.201.171', 46798)",
"('149.198.203.99', 65082, '215.154.127.189', 80)","('217.6.16.211', 443, '161.32.2.115', 2478)",
"('145.120.188.67', 80, '92.16.184.33', 33052)","('88.165.92.235', 443, '164.88.48.131', 60532)",
"('145.120.112.186', 1574, '163.192.23.32', 80)","('161.32.5.77', 1392, '193.50.249.188', 443)",
"('149.198.202.136', 56123, '45.6.247.40', 80)","('46.224.98.178', 443, '145.120.96.226', 60054)",
"('164.93.41.167', 46342, '192.182.115.226', 80)","('145.120.96.226', 60055, '95.74.154.35', 443)",
"('161.33.115.94', 3369, '45.161.17.183', 80)","('193.30.113.34', 443, '193.188.201.199', 2175)",
"('149.198.203.99', 65087, '222.9.85.15', 80)","('44.206.252.199', 443, '145.120.250.30', 53142)",
"('192.114.227.142', 54771, '44.206.249.138', 80)","('149.198.202.137', 62410, '11.43.100.49', 443)",
"('193.188.203.82', 1858, '94.216.95.107', 80)","('145.120.98.122', 55874, '92.21.96.178', 443)",
"('218.34.205.152', 80, '164.88.48.132', 57843)","('45.171.169.0', 443, '164.66.66.17', 50269)",
"('198.210.162.64', 21819, '164.143.133.67', 80)","('88.165.92.235', 443, '164.88.48.131', 60525)",
"('161.33.123.114', 1792, '45.192.106.123', 80)","('160.72.169.246', 443, '220.85.2.90', 2140)",
"('149.198.202.137', 62347, '44.206.252.171', 80)","('164.66.66.17', 50265, '45.171.169.0', 443)",
"('160.26.149.249', 21682, '107.10.152.224', 80)","('88.165.92.235', 443, '164.88.48.128', 61089)",
"('182.56.224.116', 55257, '192.115.109.201', 80)","('88.165.92.235', 443, '164.88.48.131', 60534)",
"('161.32.9.231', 1967, '69.68.216.198', 80)","('160.26.149.249', 9411, '222.54.92.146', 443)",
"('44.35.106.122', 80, '161.32.196.178', 34463)","('149.198.162.204', 1048, '42.65.128.37', 443)",
"('186.145.101.115', 1500, '35.3.204.42', 80)","('161.32.177.193', 1315, '44.128.135.58', 443)",
"('193.44.201.172', 80, '161.32.12.92', 1533)","('161.33.129.139', 40471, '215.97.213.74', 443)",
"('161.32.133.174', 21176, '221.224.105.200', 80)","('45.171.179.125', 443, '145.120.33.43', 2464)",
"('164.143.194.0', 49103, '201.20.155.135', 80)","('88.165.92.235', 443, '164.88.48.129', 65011)",
"('193.188.201.171', 45380, '222.27.206.18', 80)","('164.93.40.47', 1114, '49.186.158.186', 443)",
"('161.32.168.64', 2949, '46.224.98.187', 80)","('161.32.97.233', 443, '156.8.152.135', 1754)",
"('193.188.201.199', 2218, '213.23.207.114', 80)","('164.93.153.74', 1787, '92.11.250.40', 443)",
"('149.198.203.99', 60694, '222.132.198.255', 80)","('164.93.153.74', 1793, '92.11.250.40', 443)",
"('198.210.216.48', 80, '164.66.226.190', 54270)","('145.120.33.1', 2993, '193.50.255.147', 443)",
"('201.210.241.126', 59383, '217.69.25.156', 80)","('164.93.10.185', 35370, '46.36.64.153', 443)",
"('146.212.140.167', 80, '193.188.203.82', 1608)","('149.198.208.19', 2202, '42.65.128.32', 443)",
"('193.188.224.94', 24268, '45.171.153.145', 80)","('149.198.202.137', 51632, '11.43.100.49', 443)",
"('192.114.235.26', 80, '203.5.4.248', 13182)","('149.198.203.114', 62384, '51.138.41.248', 443)",
"('164.143.80.38', 3218, '198.152.35.225', 80)","('149.198.197.26', 2428, '217.108.15.67', 443)",
"('161.32.65.172', 1666, '214.206.51.136', 80)","('149.198.203.114', 62270, '11.43.100.123', 443)",
"('149.198.202.136', 52503, '222.76.136.153', 80)","('161.32.245.140', 6922, '44.206.252.199', 443)",
"('149.198.149.188', 80, '152.46.249.71', 33986)","('149.198.202.137', 62352, '11.43.100.49', 443)",
