Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length
40680,2001:3a50:a892::5,2001:3c00:5846:1a2a::f00:d488,49698,6667,0,0,6,60+20
40683,2001:3a50:a892::5,2001:3c00:5846:1a2a::f00:d488,49698,6667,0,0,6,60+47
40742,2001:3a50:a8ff:ff23::1bd2,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
41604,2001:3269:3d:0:8883::ed2e,2001:23b9:0:48:cf:c57a:e40d:bf,-,-,0,0,58,44+109
41945,2001:28d3:ff92::90,2001:3c00:5846:1a2a::f00:d488,32988,6667,0,0,6,72+32
42021,2001:28d3:ff92::90,2001:3c00:5846:1a2a::f00:d488,32988,6667,0,0,6,72+60
42090,2001:390a:69e4:2917:1c69:6dff:fc1c:44c1,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
42101,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+61
42117,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:390a:69e4:2917:1c69:6dff:fc1c:44c1,-,-,0,0,58,48+64
42483,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+51
42554,2001:3abf:22df::63:1a,2001:3c00:5846:997:a24c:3ff:1653:56e8,53,37046,0,0,17,60+124
42598,2001:3a50:a8ff:ff23::1636,2001:32af:ea15:0:6a18:c8ff:3b8f:843b,-,-,0,0,58,48+64
42628,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+50
42900,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+113
42968,2001:3da6:613c:7000::bea9,2001:3c00:5846:1a2a::f00:d488,63980,6667,936823,0,6,72+144
43071,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32
43074,2001:3b46:3e01:548c::62,2001:343d:b5:b4::65,-,-,0,0,58,48+64
43121,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32
43139,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+32
43140,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+32
43273,2001:3abf:22df::63:1a,2001:3c00:5846:997:a24c:3ff:1653:56e8,53,37046,0,0,17,60+104
43497,2001:3a50:a8ff:ff23::1636,2001:32af:ea15:0:6800::780d,-,-,0,0,58,48+64
43512,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+302
43525,2001:385a:4a21:e:1bcc:21ff:325f:37ea,2001:3c00:5846:1a2a::300:53,33270,53,0,0,17,60+58
43526,2001:385a:4a21:e:1bcc:21ff:325f:37ea,2001:3c00:5846:1a2a::300:53,33270,53,0,0,17,60+58
43626,2001:3c00:5846:1a2a::300:53,2001:385a:4a21:e:1bcc:21ff:325f:37ea,53,33270,0,0,17,60+114
