Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,UDP_Length
63229,2001:3cc1:1e:1f75::91,2001:3abf:f5a5::a3:2f,59671,53,0,0,17,60+40,40
63234,2001:3cc1:1e:1f75::91,2001:3abf:f5a5::a3:2f,59671,53,0,0,17,60+40,40
63238,2001:3cc1:1e:1f75::91,2001:3abf:f5a5::a3:2f,59671,53,0,0,17,60+40,40
63240,2001:3cc1:1e:1f75::91,2001:3abf:f5a5::a3:2f,59671,53,0,0,17,60+40,40
65119,2001:3215:283:4124:36b7:60ff:d9c1:3c66,2001:3b65:3b00:7e::5c,33309,53,0,0,17,60+63,63
66233,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+54,54
66985,2001:3cc1:a1:45::67,2001:326d:747::79,45106,53,0,0,17,60+63,63
67085,3ffe:3c15:842b:84::1a,2001:3c00:5846:1a2a::300:53,32780,53,0,0,17,60+53,53
67090,3ffe:3c15:842b:84::1a,2001:3c00:5846:1a2a::300:53,32780,53,0,0,17,60+53,53
67093,3ffe:3c15:842b:84::1a,2001:3c00:5846:1a2a::300:53,32780,53,0,0,17,60+53,53
67095,3ffe:3c15:842b:84::1a,2001:3c00:5846:1a2a::300:53,32780,53,0,0,17,60+53,53
67181,2001:3c00:5d52:27:3234:1bff:26c7:4232,2001:3abf:f5a5::a3:2f,3600,53,0,0,17,60+41,41
67278,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+309,309
67492,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3b65:3b00:7e::5e,61140,53,0,0,17,60+62,62
67939,2001:3c00:5d52:27:3234:1bff:26c7:4232,2001:3abf:f5a5::a3:2f,3600,53,0,0,17,60+42,42
68017,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:3940:42ff::25,53,49152,0,0,17,60+45,45
69280,2001:394f:4::50,2001:3c00:5979:16a6:fd83:bcff:3d95:382f,53,49154,0,0,17,60+129,129
69671,2001:3c14:59c5:d730::33,2001:3c00:5943::5d,53,65533,0,0,17,60+376,376
69844,2001:3abf:f5a5::a3:2f,2001:3c00:5d52:27:3234:1bff:26c7:4232,53,3600,0,0,17,60+111,111
70547,2001:3c00:5983:8e71:75cd:d2ff:4588:c8b4,2001:3b65:3b00:7e::5c,9698,53,0,0,17,60+63,63
70691,2001:3abf:f5a5::a3:2f,2001:3c00:5d52:27:3234:1bff:26c7:4232,53,3600,0,0,17,60+283,283
72842,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abe:b90f::12,40697,53,0,0,17,60+45,45
