Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,TCP-Reserved,TCP-CWR,TCP-ECE,TCP-Timestamp_Value
70767,2001:3b46:3e98:49::9f,2001:34ca:b9:4c3f:b2e8:29ff:fbe4:c2e6,179,41460,0,0,6,60+93,0,False,False,-
70952,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
73240,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
73248,2001:3da6:613c:7000::bea9,2001:3c00:5846:1a2a::f00:d488,63980,6667,936823,0,6,72+118,0,False,False,"280930521, 2115506009"
73467,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+85,0,False,False,-
74911,2001:3b46:3e98:49::9f,2001:34ca:b9:4c3f:b2e8:29ff:fbe4:c2e6,179,41460,0,0,6,60+86,0,False,False,-
75145,2001:3c00:5846:1a2a::f00:d488,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,6667,1259,256161,0,6,60+20,0,False,False,-
76492,2001:3da6:613c:7000::a68f,2001:3c00:5846:1a2a::f00:d488,65528,6667,746972,0,6,72+32,0,False,False,"2287420, 2115506200"
76629,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
76634,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
76638,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
76759,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
78760,2001:3c00:5846:1a2a::f00:d488,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,6667,1259,256161,0,6,60+118,0,False,False,-
87717,2001:3951:7400:ead3::e5,2001:3c00:5846:1a2a::f00:d488,32782,6667,0,0,6,72+45,0,False,False,"256219216, 2115505872"
88433,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+20,0,False,False,-
89119,2001:28d3:ff92::91,2001:3c00:5846:1a2a::f00:d488,33012,6667,0,0,6,72+59,0,False,False,"11448834, 2115505314"
89260,2002:90f3:4c0e::8995:b250,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,64+24,0,False,False,-
89353,2001:3c00:5846:1a2a::f00:d488,2001:3951:7400:ead3::e5,6667,32782,251187,0,6,72+32,0,False,False,"2115506300, 256219216"
90632,2001:3c00:5846:1a2a::f00:d488,2001:28d3:ff92::91,6667,33012,255469,0,6,72+32,0,False,False,"2115506308, 11448834"
93465,2001:3c00:5846:1a2a::f00:d488,2001:28d3:ff92::91,6667,33012,255469,0,6,72+103,0,False,False,"2115506324, 11448834"
93466,2001:3c00:5846:1a2a::f00:d488,2001:3951:7400:ead3::e5,6667,32782,251187,0,6,72+105,0,False,False,"2115506324, 256219216"
95386,2002:90f3:4c0e::8995:b250,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
95402,2002:90f3:4c0e::8995:b250,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+400,0,False,False,-
98550,2001:2b01:ffbd:26::87,2001:3c00:5846:1a2a::f00:d488,54791,6667,0,0,6,72+46,0,False,False,"1251889198, 2115505927"
98650,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffbd:26::87,6667,54791,247972,0,6,72+105,0,False,False,"2115506355, 1251889198"
99396,2001:3951:7400:ead3::e5,2001:3c00:5846:1a2a::f00:d488,32782,6667,0,0,6,72+32,0,False,False,"256219943, 2115506324"
99413,2001:28d3:ff92::91,2001:3c00:5846:1a2a::f00:d488,33012,6667,0,0,6,72+32,0,False,False,"11448897, 2115506324"
