Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,UDP_Length
64284,164.66.89.93,205.221.137.196,32805,123,20,0,0,17,76,56
64288,161.32.145.113,95.1.79.239,53,42534,20,0,0,17,226,206
64299,162.163.174.172,164.66.89.93,123,32805,20,0,0,17,76,56
64308,44.136.226.208,193.20.182.96,53,53,20,0,0,17,83,63
64310,160.72.143.199,212.129.112.180,54853,53,20,0,0,17,72,52
64334,214.204.140.41,193.20.182.96,4714,53,20,0,0,17,81,61
64338,35.47.107.7,193.20.182.96,53240,53,20,0,0,17,70,50
64353,47.15.248.208,193.20.180.152,1026,53,20,0,0,17,71,51
64368,193.88.82.228,193.20.182.105,59465,53,20,0,0,17,83,63
64369,46.148.96.117,193.20.180.152,62186,53,20,0,0,17,64,44
64375,193.88.82.214,193.20.182.105,51911,53,20,0,0,17,85,65
64380,164.191.22.209,43.96.60.117,6881,63890,20,0,0,17,108,88
64392,186.145.16.159,48.5.130.210,53,38605,20,0,0,17,148,128
64393,186.145.16.159,48.5.130.210,53,38605,20,0,0,17,148,128
64400,35.47.77.103,193.20.180.152,28643,53,20,0,0,17,59,39
64407,202.160.35.234,193.20.182.96,1162,53,20,0,0,17,66,46
64409,193.20.177.176,192.168.0.230,53,1117,20,0,0,17,520,500
64417,201.164.27.57,201.196.236.249,5353,53,20,0,0,17,75,55
64419,161.32.145.124,44.44.168.24,54873,53,20,0,0,17,77,57
64422,193.188.202.104,94.136.228.81,53,8153,20,0,0,17,281,261
64423,49.171.220.90,193.20.182.96,53,53,20,0,0,17,84,64
64437,49.185.46.44,193.20.182.105,40506,53,20,0,0,17,71,51
64439,48.77.200.39,192.114.235.36,43004,53,20,0,0,17,70,50
64441,201.196.236.249,201.164.27.57,53,5353,20,0,0,17,118,98
64493,163.192.135.77,193.20.182.105,34448,53,20,0,0,17,73,53
64502,161.33.177.149,209.162.82.67,33695,22863,20,0,0,17,129,109
64504,192.114.235.36,48.77.200.39,53,43004,20,0,0,17,100,80
64505,193.97.215.83,193.20.180.152,32922,53,20,0,0,17,59,39
64520,202.161.204.215,193.20.182.96,53,53,20,0,0,17,57,37
64521,198.4.153.82,193.20.182.105,12292,53,20,0,0,17,73,53
64527,202.161.204.215,193.20.182.96,53,53,20,0,0,17,57,37
64535,208.28.166.80,193.20.182.96,31016,53,20,0,0,17,73,53
64537,164.191.22.230,198.4.209.235,4070,53,20,0,0,17,53,33
64542,182.56.101.174,213.107.61.90,1036,16478,20,0,0,17,64,44
64551,92.122.223.44,192.114.214.138,3339,1434,20,0,0,17,404,384
64574,149.198.202.146,203.18.218.245,52064,53,20,0,0,17,71,51
64578,204.150.43.52,201.196.236.249,43200,53,20,0,0,17,57,37
64600,202.149.191.171,164.66.46.120,53,2214,20,0,0,17,142,122
64601,193.97.215.82,193.20.180.152,32838,53,20,0,0,17,56,36
64614,201.196.236.249,204.150.43.52,53,43200,20,0,0,17,101,81
64627,199.99.119.33,164.66.46.120,53,17815,20,0,0,17,131,111
64637,201.46.107.27,192.114.237.128,53,37044,20,0,0,17,147,127
64639,192.114.237.128,201.10.22.239,37044,53,20,0,0,17,54,34
64644,53.76.156.98,193.20.182.96,20384,53,20,0,0,17,73,53
64650,192.114.237.128,222.20.159.197,37044,53,20,0,0,17,67,47
64651,193.107.186.44,193.20.180.152,32945,53,20,0,0,17,80,60
64655,198.53.192.4,193.20.180.152,16463,53,20,0,0,17,61,41
